Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary,STATE
7/1/2018,7/1/2018,Exempt,"25,000.00",710
7/1/2016,7/1/2016,Exempt,"27,000.00",710
6/21/1999,8/31/2016,Exempt,"25,000.00",710
1/14/2021,1/14/2021,Exempt,"25,000.00",710
7/24/1998,7/1/2010,Exempt,"25,000.00",710
1/1/2023,1/1/2023,Exempt,"25,000.00",710
7/1/2016,7/1/2016,Exempt,"25,000.00",710
7/1/2014,7/1/2014,Exempt,"25,000.08",710
7/26/2021,6/28/2023,Exempt,"305,459.55",710
1/18/2022,1/18/2022,Nonexempt,"43,584.90",710
10/4/2010,5/18/2015,Nonexempt,"42,119.45",710
10/21/2023,10/21/2023,Nonexempt,"40,687.92",710
11/6/2017,10/23/2023,Exempt,"244,518.75",710
1/3/2023,12/31/2022,Exempt,"92,373.75",710
9/21/2024,9/21/2024,Nonexempt,"40,688.00",710
12/2/2023,8/24/2024,Nonexempt,19.56,710
1/22/2014,1/22/2014,Nonexempt,25.27,710
1/3/2006,1/3/2006,Exempt,"112,107.18",710
4/20/2024,4/20/2024,Nonexempt,20.89,710
2/12/2001,2/18/2015,Exempt,"72,940.66",710
3/5/2012,3/5/2012,Exempt,"81,247.42",710
1/25/2010,5/4/2024,Exempt,"59,393.48",710
11/21/1994,7/1/2007,Exempt,"97,476.43",710
8/20/2018,11/8/2021,Exempt,"52,113.47",710
3/12/2007,10/1/2013,Exempt,"64,326.39",710
1/9/2006,4/11/2022,Exempt,"91,287.00",710
9/11/2017,9/11/2017,Exempt,"244,518.75",710
6/1/2015,3/6/2017,Exempt,"119,814.19",710
4/8/2024,4/8/2024,Nonexempt,21.49,710
6/23/2016,6/23/2016,Nonexempt,"43,292.86",710
8/8/2016,8/8/2016,Nonexempt,"41,774.67",710
5/8/2021,5/8/2021,Nonexempt,25.32,710
6/27/2005,6/10/2013,Exempt,"125,519.63",710
4/6/2024,4/6/2024,Nonexempt,22.4,710
9/21/2024,9/21/2024,Nonexempt,"40,688.00",710
12/16/2023,12/16/2023,Exempt,"68,301.72",710
6/21/2017,7/13/2024,Nonexempt,"40,688.00",710
8/4/1998,5/4/2015,Exempt,"124,977.29",710
7/10/1989,11/23/2010,Exempt,"57,331.48",710
11/27/2006,7/1/2008,Nonexempt,19.96,710
9/7/2021,9/7/2021,Exempt,"244,518.75",710
12/4/2017,12/4/2017,Nonexempt,25.67,710
8/24/1999,8/24/1999,Nonexempt,31.59,710
6/12/2017,11/6/2023,Exempt,"244,518.75",710
4/10/2021,1/16/2024,Nonexempt,22.4,710
6/18/2007,7/3/2021,Exempt,"244,518.75",710
9/21/2024,9/21/2024,Nonexempt,"40,688.00",710
9/22/2003,6/3/2023,Nonexempt,76.07,710
12/18/2013,8/24/2024,Exempt,"54,601.00",710
7/24/1978,10/5/2020,Nonexempt,70.52,710
10/7/1999,9/21/2024,Exempt,"72,938.10",710
9/12/2022,9/12/2022,Nonexempt,"41,908.56",710
4/22/2002,10/8/2013,Nonexempt,"47,005.23",710
8/1/1991,7/1/2007,Nonexempt,30.07,710
5/4/2024,5/4/2024,Nonexempt,20.89,710
1/31/2005,7/23/2008,Nonexempt,28.62,710
9/21/2024,9/21/2024,Nonexempt,"40,688.00",710
1/28/2014,5/11/2015,Nonexempt,"64,949.61",710
1/16/2024,1/16/2024,Exempt,"134,550.00",710
10/3/1989,5/15/1996,Exempt,"185,483.39",710
1/22/2019,8/16/2021,Nonexempt,"44,931.42",710
6/1/1998,5/8/2001,Exempt,"137,399.36",710
8/24/2024,8/24/2024,Nonexempt,"46,589.00",710
10/26/2019,10/26/2019,Exempt,"145,178.42",710
9/13/2010,7/15/2023,Exempt,"97,807.50",710
2/6/2006,1/1/2019,Exempt,"169,610.63",710
4/15/2013,4/15/2013,Exempt,"131,076.54",710
7/13/2024,7/13/2024,Nonexempt,"62,400.00",710
8/1/2014,8/1/2014,Exempt,"172,176.39",710
8/1/2014,1/22/2019,Exempt,"145,643.13",710
4/2/1990,5/15/1996,Nonexempt,"92,125.35",710
7/1/2015,7/1/2015,Exempt,"161,761.19",710
5/20/2023,5/20/2023,Exempt,"97,807.50",710
8/3/2015,8/3/2015,Nonexempt,"76,044.56",710
7/13/2015,6/4/2018,Nonexempt,"71,447.09",710
10/24/2020,10/24/2020,Nonexempt,"57,291.39",710
9/3/2019,9/3/2019,Exempt,"137,648.79",710
10/19/1992,2/7/1997,Exempt,"110,700.50",710
2/9/2015,9/23/2023,Exempt,"134,550.00",710
10/22/2022,10/22/2022,Nonexempt,"52,008.75",710
10/8/1984,11/18/1997,Exempt,"259,811.98",710
8/26/2013,7/1/2016,Exempt,"255,174.08",710
6/27/2014,8/17/2019,Exempt,"124,142.04",710
1/29/2001,1/29/2001,Exempt,"153,294.89",710
2/19/2002,2/19/2002,Nonexempt,"63,310.79",710
1/14/1974,5/15/1996,Exempt,"93,580.95",710
10/3/2007,11/9/2019,Nonexempt,"80,378.10",710
10/15/2018,10/15/2018,Nonexempt,"62,380.48",710
8/3/2020,12/3/2022,Exempt,"104,793.75",710
8/20/2007,8/20/2007,Exempt,"140,919.39",710
1/28/2002,7/1/2016,Exempt,"255,174.08",710
6/1/1999,6/29/2001,Exempt,"153,714.06",710
11/20/2017,9/7/2021,Nonexempt,"45,966.42",710
9/16/2013,9/16/2013,Exempt,"254,299.50",710
8/3/2019,8/3/2019,Exempt,"78,735.04",710
6/5/2017,7/30/2022,Exempt,"91,287.00",710
1/3/2023,1/3/2023,Exempt,"53,577.32",710
6/15/2024,6/15/2024,Exempt,"82,158.30",710
12/20/2021,12/20/2021,Exempt,"57,331.48",710
4/27/2015,12/12/2016,Exempt,"60,833.00",710
10/3/2006,7/3/2023,Exempt,"92,115.00",710
10/18/2021,5/18/2024,Exempt,"72,450.00",710
3/24/2008,3/24/2008,Exempt,"61,116.65",710
1/8/2018,9/26/2022,Exempt,"60,175.25",710
2/4/2002,9/12/2022,Exempt,"72,268.88",710
3/13/2021,3/13/2021,Exempt,"88,853.00",710
10/25/2013,11/20/2023,Exempt,"127,897.02",710
9/12/1983,4/16/2015,Nonexempt,"56,739.70",710
12/17/2018,3/28/2022,Exempt,"77,593.95",710
8/29/2022,8/29/2022,Exempt,"70,638.75",710
12/1/2014,2/25/2023,Exempt,"70,638.75",710
4/17/2017,7/6/2021,Exempt,"142,635.94",710
5/18/2024,5/18/2024,Exempt,"70,638.75",710
5/6/2023,5/6/2023,Exempt,"59,771.25",710
11/29/2004,6/26/2017,Exempt,"59,640.14",710
8/14/2017,7/29/2024,Exempt,"101,043.30",710
3/17/2014,3/17/2014,Exempt,"101,397.98",710
6/20/2023,3/23/2024,Exempt,"82,158.30",710
12/14/2015,7/6/2021,Exempt,"131,225.06",710
10/11/2021,10/11/2021,Exempt,"62,988.03",710
3/14/2020,7/16/2022,Exempt,"82,158.30",710
7/31/2017,3/28/2022,Exempt,"72,869.85",710
1/3/2022,1/3/2022,Exempt,"58,478.05",710
7/27/2019,8/27/2022,Exempt,"85,210.52",710
6/25/2012,1/22/2019,Exempt,"131,795.61",710
4/2/2018,11/4/2023,Exempt,"99,877.50",710
7/9/2007,9/26/2022,Exempt,"99,902.22",710
5/18/2024,7/15/2024,Exempt,"82,158.30",710
9/2/2003,2/25/2023,Exempt,"69,409.98",710
