OBJECTID,STATE,COUNTY,TRACT,blkgrp_med,blkgrp_m_1,avg_hh_s_1,commuters_,commuter_1,pct_renter,pct_detatc,hh_type1_s,hh_type1_w,hh_type1_ht,hh_type1_h,hh_type1_t
198066,51,710,2200,122675.6198,58078.5124,2.37,1.17224,1.71547,0.18462,93.8247,4,2,51.76299,29.853,21.90999
204056,51,710,5902,48676.16846,30539.55357,1.99,1.21909,0.95482,0.67048,37.45819,4,2,40.76945,23.04792,17.72153
204057,51,710,2100,131854.2066,12213.33328,1.07,1.51836,0.21348,0.27769,73.43066,4,2,50.57684,29.65679,20.92005
204058,51,710,4600,48938.1652,20640.47093,3.37,1.06438,0.97346,0.32911,89.69555,4,2,48.90564,27.91142,20.99422
204059,51,710,6000,47357.35839,46254.41407,2.83,1.09139,1.01863,0.4192,72.5,4,2,47.13401,27.13615,19.99787
204060,51,710,202,55691.8006,32234.47795,2.13,1.26975,1.22082,0.4763,44.65116,4,2,49.06478,29.36473,19.70005
204061,51,710,500,77019.78429,38282.65886,2.05,1.16825,0.96174,0.45455,66.1157,4,2,48.46489,28.35779,20.10711
204310,51,710,4002,102276.2179,41854.64909,1.46,0.90605,0.78736,0.77632,16.66667,4,2,49.22745,34.05257,15.17488
204311,51,710,5902,63117.08811,39599.82378,1.59,1.10702,0.86704,0.33333,68.38906,4,2,44.69228,24.90682,19.78547
204312,51,710,600,53454.76414,23262.00457,2.16,1.19415,1.26208,0.72878,33.36475,4,2,45.90905,28.11883,17.79022
204313,51,710,2300,141282.38,27150.27691,3.04,1.37972,1.08381,0.15909,92.89941,4,2,51.38208,29.83381,21.54827
204314,51,710,4002,86431.8317,35370.62732,1.73,1.14592,0.99581,0.54777,2.2293,4,2,42.38441,27.17679,15.20761
204315,51,710,901,64534,31683,3.92,1.20127,1.20127,1,7.17658,4,2,45.08747,26.31002,18.77745
204316,51,710,6607,66007.45562,21613.81911,1.96,1.33356,0.66164,0.18851,87.35632,4,2,51.14002,29.33681,21.80321
204317,51,710,3800,203932.0307,91928.67045,2.29,1.01705,0.84244,0.41176,52.94118,4,2,50.07337,30.22081,19.85256
204318,51,710,400,97872.19934,35410.30391,2.24,1.46008,1.31571,0.72382,22.48289,4,2,41.88931,24.12727,17.76204
204319,51,710,4300,36713.01349,10270.5925,3.81,1.63366,1.05117,0.96996,13.72549,4,2,39.83634,23.00542,16.83092
204320,51,710,6200,66267.51482,43644.53989,2.86,1.11224,1.14713,0.32178,78.61886,4,2,49.36459,29.0679,20.29669
204321,51,710,2600,62777.16877,20840.00759,2.75,0.98992,1.18546,0.71171,37.08054,4,2,47.36476,30.01585,17.34892
204322,51,710,5602,68453.00064,43897.26929,2.56,1.51884,1.32142,0.49695,90.02849,4,2,49.76241,28.46307,21.29934
204323,51,710,2800,105529.8986,30530.81664,1.87,1.26844,1.43745,0.50579,41.88034,4,2,48.25096,29.86832,18.38264
204560,51,710,5701,47380.35057,26084.69182,2.81,1.57694,1.34408,0.84967,22.46575,4,2,45.47322,28.2508,17.22242
204561,51,710,6000,41337.52213,40374.7787,1,1.20046,1.12043,0.09091,89.80447,4,2,49.46186,28.91342,20.54844
204562,51,710,6902,68587.31527,47786.55979,3.71,1.06695,1.39514,0.41731,72.30769,4,2,50.69422,30.00957,20.68464
204580,51,710,2200,91875.59586,43496.80842,4.13,1.46204,2.13957,0.22333,91.50943,4,2,52.84403,30.53575,22.30828
205612,51,710,4100,26337.17105,14198.74162,2.76,0.28125,0.64129,0.95524,3.48387,4,2,29.17462,14.52599,14.64863
205613,51,710,3100,58961.56832,31441.51545,1.98,0.95177,0.80312,0.77636,33.27496,4,2,42.23834,24.61944,17.6189
205614,51,710,1200,79554.31112,27752.66298,2.52,1.17742,1.41543,0.68699,26.04895,4,2,46.71458,28.61342,18.10116
205615,51,710,7002,60891.51065,42985.93492,2.12,1.54114,1.30828,0.45503,54.65538,4,2,48.99319,29.82423,19.16896
205616,51,710,6902,62199.91381,43336.29168,2.28,1.04996,1.37292,0.38831,75,4,2,50.19665,29.63534,20.56131
205617,51,710,3000,68852.91121,44825.06243,2.29,1.04865,1.04278,0.22973,75,4,2,50.3711,29.87527,20.49582
205618,51,710,800,68976.88442,43095.14993,2.51,1.21696,1.3419,0.30998,88.86957,4,2,48.6852,27.14129,21.54391
205619,51,710,4400,42743.61518,15417,2.62,0.76944,0.84762,1,12.38095,4,2,45.09688,27.82791,17.26898
205620,51,710,4900,0,0,0,0,0,0,0,0,0,0,0,0
205748,51,710,2800,117446.4263,33978.38295,2.48,1.15288,1.3065,0.63666,31.67539,4,2,43.73281,26.45748,17.27533
205749,51,710,3501,59066.24794,19090.94108,2.2,1.57962,0.82943,0.56881,39.07767,4,2,41.95432,24.94996,17.00436
205750,51,710,3400,25598.19549,13609.39473,3.69,1.03248,1.05964,0.4878,60.401,4,2,43.45806,24.33751,19.12055
206070,51,710,5902,54857.74545,34417.89091,3.86,2.0885,1.63576,0.31105,86.41304,4,2,47.37808,26.99942,20.37865
206071,51,710,6501,54841.11517,16051.70351,2.23,1.22606,0.99334,0.79638,23.80336,4,2,42.05072,24.39194,17.65878
206077,51,710,1700,85687.65126,26569.70449,2.03,1.56555,1.22835,0.75168,28.18792,4,2,41.07361,22.66913,18.40448
206078,51,710,4002,91211.65851,37326.68297,1.16,0.19316,0.16786,0.33333,7.33945,4,2,63.954,45.63776,18.31623
206079,51,710,6100,45836.18513,35400.1875,4.51,1.4675,1.37971,0.20958,100,4,2,41.16191,19.96883,21.19308
206087,51,710,4900,88978.92323,65177.01309,1.61,0.93954,1.21834,0.62129,0.57411,4,2,42.28515,26.77236,15.51279
206098,51,710,3200,51959.15707,27249.43237,2.49,1.39147,0.98866,0.18552,97.87234,4,2,49.64058,28.70659,20.93399
206099,51,710,6800,75963.68421,36743.65356,2.58,1.52746,1.2718,0.18393,97.99331,4,2,52.15689,30.67564,21.48125
206100,51,710,4200,38499.43491,11343,2.9,3.27461,0.68249,1,0,4,2,23.75581,9.61328,14.14253
206101,51,710,5601,63299.74261,43024.1575,1.56,1.32404,1.61,0.15194,95.49839,4,2,52.03555,29.52172,22.51383
