Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,SUMMARY,Unnamed: 6,Unnamed: 7,Unnamed: 8
Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Residential Real Estate Value Score,Affordable Housing Score,Personal Income Score
51710005903,Norfolk city,Virginia,2020,48,23,26,14
51710005903,Norfolk city,Virginia,2021,44,19,20,18
51710005903,Norfolk city,Virginia,2022,42,27,22,34
51710005903,Norfolk city,Virginia,2023,44,24,31,51
51710001500,Norfolk city,Virginia,2017,45,21,37,24
51710001500,Norfolk city,Virginia,2018,44,17,33,28
51710001500,Norfolk city,Virginia,2019,48,15,42,38
51710001500,Norfolk city,Virginia,2020,52,19,56,51
51710001500,Norfolk city,Virginia,2021,46,31,68,32
51710001500,Norfolk city,Virginia,2022,54,25,81,27
51710001500,Norfolk city,Virginia,2023,51,37,89,29
51710004400,Norfolk city,Virginia,2017,40,55,13,75
51710004400,Norfolk city,Virginia,2018,46,49,16,69
51710004400,Norfolk city,Virginia,2019,46,18,19,57
51710004400,Norfolk city,Virginia,2020,46,18,26,39
51710004400,Norfolk city,Virginia,2021,43,37,46,21
51710004400,Norfolk city,Virginia,2022,40,27,65,12
51710004400,Norfolk city,Virginia,2023,36,34,69,10
51710004500,Norfolk city,Virginia,2017,32,21,31,66
51710004500,Norfolk city,Virginia,2018,36,16,44,55
51710004500,Norfolk city,Virginia,2019,38,12,55,61
51710004500,Norfolk city,Virginia,2020,36,11,51,62
51710004500,Norfolk city,Virginia,2021,38,31,68,66
51710004500,Norfolk city,Virginia,2022,32,45,67,57
51710004500,Norfolk city,Virginia,2023,46,55,70,63
51710001600,Norfolk city,Virginia,2017,27,,51,33
51710001600,Norfolk city,Virginia,2018,27,,38,13
51710001600,Norfolk city,Virginia,2019,30,9,55,12
51710001600,Norfolk city,Virginia,2020,32,9,63,14
51710001600,Norfolk city,Virginia,2021,33,7,48,34
51710001600,Norfolk city,Virginia,2022,38,,65,51
51710001600,Norfolk city,Virginia,2023,34,23,65,50
51740213101,Portsmouth city,Virginia,2017,40,11,13,16
51740213101,Portsmouth city,Virginia,2018,42,13,7,25
51740213101,Portsmouth city,Virginia,2019,43,16,6,35
51740213101,Portsmouth city,Virginia,2020,46,47,5,40
51740213101,Portsmouth city,Virginia,2021,46,42,20,29
51740213101,Portsmouth city,Virginia,2022,46,41,20,19
51740213101,Portsmouth city,Virginia,2023,40,22,13,14
51740211500,Portsmouth city,Virginia,2017,38,26,59,11
51740211500,Portsmouth city,Virginia,2018,39,17,52,10
51740211500,Portsmouth city,Virginia,2019,36,64,52,15
51740211500,Portsmouth city,Virginia,2020,36,61,50,13
51740211500,Portsmouth city,Virginia,2021,40,69,37,23
51740211500,Portsmouth city,Virginia,2022,42,31,68,24
